#{"t_start": 1674727166.545253, "env_id": null}
r,l,t
-19.0,1777,868.23932
-13.0,2303,868.30307
-15.0,1992,870.811921
-12.0,2208,876.402799
-15.0,2006,877.191073
-17.0,2023,889.831084
-10.0,2282,889.922689
-8.0,2808,891.585532
-13.0,2183,895.629748
-12.0,2196,898.26463
-12.0,2428,898.69571
-18.0,1760,899.378554
-17.0,1864,900.010108
-13.0,2038,916.282645
-15.0,2405,920.821644
-14.0,1961,921.666734
-14.0,2605,925.461631
-15.0,1993,925.479704
-13.0,2182,927.039467
-12.0,2303,930.372617
-12.0,2419,930.640007
-16.0,2156,943.888863
-11.0,2067,948.046237
-11.0,2260,949.86456
-9.0,2361,955.619821
-9.0,2380,955.795627
-9.0,2488,958.331586
-11.0,2432,961.033024
-13.0,2605,963.694553
-13.0,2258,972.370115
-9.0,2539,980.004579
-15.0,1990,980.604313
-10.0,2466,980.742916
-13.0,2480,986.705394
-13.0,2372,988.403937
-13.0,2251,989.583778
-13.0,2265,992.005337
-15.0,2035,998.283904
-15.0,2014,1012.545317
-13.0,2598,1013.027279
-8.0,2532,1013.129145
-6.0,3092,1019.969285
-11.0,2547,1020.968729
-10.0,2816,1025.486601
-12.0,2747,1027.251423
-10.0,3332,1040.715352
-12.0,2579,1045.296634
-5.0,2846,1049.350871
-11.0,3173,1053.627252
-4.0,2922,1058.419135
-7.0,2898,1062.312387
-3.0,3363,1063.225065
-6.0,3249,1068.602229
-13.0,2717,1075.268028
-8.0,3049,1084.371052
-11.0,3268,1091.132525
-8.0,3146,1093.370385
-12.0,3022,1100.7164
-6.0,3534,1102.877017
-7.0,3513,1107.444074
-6.0,3368,1111.023254
-8.0,3202,1115.689423
-6.0,3197,1124.54743
-8.0,3327,1132.931217
-9.0,3201,1133.588641
-10.0,3280,1142.082233
-5.0,3301,1149.018837
-4.0,3852,1151.235569
-5.0,3386,1153.789919
-7.0,3306,1157.272044
-4.0,3805,1172.087261
-10.0,3160,1173.449075
-7.0,3718,1179.73137
-11.0,3054,1180.228463
-13.0,3075,1193.15501
-7.0,3456,1193.171828
-10.0,3631,1197.849375
-7.0,3344,1200.034061
-10.0,3250,1215.342947
-8.0,3486,1217.034596
-11.0,3531,1225.511647
-7.0,3879,1229.13697
-10.0,3076,1231.97626
2.0,4009,1243.552151
-3.0,3965,1247.804642
-2.0,4027,1250.946237
2.0,3974,1266.859577
-12.0,2844,1267.518332
1.0,4200,1267.722557
2.0,3540,1270.066086
7.0,3490,1273.171326
-1.0,3883,1292.461398
-3.0,3821,1295.85149
1.0,3848,1299.354071
-10.0,3068,1305.531573
7.0,3426,1310.980448
-5.0,3373,1312.414558
-5.0,3863,1316.100607
2.0,3674,1319.169854
5.0,3532,1336.709847
7.0,3273,1336.754474
-10.0,3017,1343.137498
3.0,3952,1348.931365
1.0,3800,1358.816736
-2.0,3771,1359.57831
1.0,3620,1361.844373
-1.0,4040,1370.066703
-5.0,3312,1378.407119
10.0,2812,1378.499054
2.0,3444,1380.02784
3.0,3458,1392.361326
8.0,3152,1398.041287
2.0,3423,1402.526454
-6.0,3318,1403.400545
2.0,3461,1413.338346
-11.0,2824,1413.796409
3.0,3524,1424.616259
-1.0,3685,1424.931663
1.0,3802,1439.98027
1.0,3654,1444.294188
-5.0,3332,1445.443371
3.0,3546,1447.381488
1.0,3642,1459.099823
-2.0,3757,1461.459728
1.0,3665,1470.271531
-1.0,3943,1474.380366
-1.0,3467,1487.801794
1.0,3826,1488.077381
2.0,3502,1491.309005
4.0,3707,1492.117336
-1.0,3981,1509.450287
-1.0,3853,1510.190554
5.0,3200,1510.907207
4.0,3703,1521.65185
2.0,3513,1533.413694
1.0,3820,1536.889528
1.0,3680,1538.622112
1.0,3706,1539.688841
-5.0,3267,1553.194185
6.0,3444,1554.602257
-2.0,3553,1555.325752
-3.0,3514,1566.868247
10.0,2782,1573.009466
6.0,3176,1574.566808
1.0,3707,1586.791732
2.0,3778,1588.573521
-9.0,3080,1594.803082
9.0,3319,1596.557274
5.0,3348,1599.014369
2.0,3508,1612.493804
6.0,3272,1615.557602
-7.0,3336,1618.098902
4.0,3444,1633.217082
2.0,3680,1634.550324
-7.0,3110,1636.537317
7.0,3593,1641.075471
-3.0,4008,1650.700835
-12.0,3040,1656.453871
-5.0,3725,1660.43403
-5.0,3712,1662.804982
13.0,2524,1666.263307
9.0,3426,1680.135947
-1.0,3798,1681.683326
2.0,3998,1691.712963
6.0,3284,1692.123608
1.0,3279,1704.570489
-4.0,3689,1707.033524
1.0,4006,1707.747379
6.0,3402,1709.789776
-13.0,2679,1715.661108
8.0,3608,1725.868964
5.0,3417,1735.611361
7.0,3961,1742.004705
9.0,3327,1746.773353
9.0,3312,1751.780866
7.0,3532,1751.928967
3.0,3897,1756.908038
-10.0,3368,1758.246529
6.0,3251,1766.924759
12.0,2916,1783.945845
9.0,3307,1784.113525
5.0,4056,1787.319901
5.0,3441,1795.448319
2.0,3629,1797.758479
6.0,3530,1801.855989
4.0,3992,1808.684133
2.0,3894,1816.430096
10.0,3401,1826.769301
6.0,3448,1827.468113
5.0,3721,1834.229185
6.0,3646,1841.308639
4.0,3555,1842.772838
-1.0,3753,1849.066073
5.0,3823,1856.974486
10.0,3309,1858.24366
12.0,2698,1861.436299
11.0,2782,1876.254677
5.0,3699,1880.662019
-1.0,4723,1886.181645
6.0,3815,1890.65922
4.0,3926,1898.458107
9.0,3294,1899.321468
7.0,3645,1902.623694
9.0,3304,1902.67732
9.0,3539,1921.255242
12.0,3310,1922.318291
9.0,3811,1934.62529
13.0,2844,1935.767138
4.0,3843,1939.486343
9.0,3488,1942.685073
-5.0,3643,1949.071903
3.0,3768,1950.738433
10.0,3642,1967.161812
5.0,3890,1971.942343
6.0,3517,1980.190793
11.0,3290,1984.522298
4.0,3926,1984.557787
5.0,3678,1986.208556
3.0,3480,1993.085595
-4.0,3485,1994.762669
3.0,3794,2015.41785
-2.0,4288,2025.904523
9.0,3865,2028.997753
8.0,3655,2030.533845
2.0,3990,2034.929471
3.0,4210,2039.515871
-2.0,3667,2041.337631
-3.0,4165,2046.009274
4.0,3995,2065.769426
7.0,3893,2075.424785
9.0,3815,2077.430887
7.0,3754,2077.975919
7.0,4143,2087.279895
12.0,3751,2088.735587
11.0,3637,2091.932182
-4.0,4415,2095.234795
12.0,3193,2106.317397
9.0,3564,2123.106795
12.0,3035,2125.782775
4.0,3898,2126.54483
-8.0,3025,2127.154858
2.0,4776,2135.798128
6.0,3619,2137.623146
11.0,3418,2138.642247
6.0,3842,2154.968071
8.0,3197,2166.227724
3.0,3608,2169.063715
9.0,3464,2170.941082
9.0,3676,2173.1478
6.0,3409,2180.832469
5.0,3741,2182.98364
8.0,3658,2184.597087
8.0,3281,2196.608273
11.0,3761,2213.894322
9.0,3615,2214.927622
7.0,3655,2217.157976
11.0,3488,2217.391776
11.0,3423,2224.36189
4.0,3542,2229.62665
11.0,3742,2230.702161
15.0,3225,2237.286463
14.0,3462,2258.618727
13.0,3634,2260.021853
10.0,3437,2260.632373
11.0,3536,2262.189553
10.0,3392,2267.016867
14.0,3270,2271.139872
14.0,3620,2276.329211
12.0,3442,2280.892864
16.0,3435,2302.231054
17.0,3509,2304.333367
15.0,3493,2304.793608
16.0,3421,2305.687485
14.0,3453,2310.913675
15.0,3170,2311.175392
15.0,3463,2320.436871
16.0,3513,2325.441804
16.0,3409,2345.169477
18.0,3335,2347.036937
14.0,3519,2350.093077
18.0,3215,2351.601689
10.0,3766,2351.909972
13.0,3785,2359.295348
13.0,3451,2364.098375
17.0,3493,2369.518348
16.0,3181,2385.419882
19.0,3046,2385.596313
14.0,3308,2391.916038
17.0,3240,2393.082233
12.0,3317,2393.514972
17.0,3077,2402.995532
16.0,3650,2405.211264
14.0,3014,2407.815867
16.0,2917,2422.616745
19.0,2686,2425.939977
16.0,3295,2427.254907
19.0,2712,2427.797466
19.0,2783,2428.458233
20.0,2760,2440.355978
14.0,3164,2443.163797
18.0,3201,2448.328059
18.0,2723,2456.945329
17.0,2911,2462.890783
17.0,2736,2462.916653
17.0,2907,2464.696435
15.0,3300,2469.104722
18.0,2586,2475.733496
18.0,3177,2480.69857
20.0,2699,2482.537368
16.0,3137,2496.983584
15.0,2785,2500.187085
12.0,3004,2500.871658
3.0,3315,2505.048587
14.0,2933,2506.398718
20.0,2674,2509.825135
18.0,2700,2514.84589
17.0,2705,2516.743303
20.0,2625,2533.205891
13.0,3184,2537.338352
9.0,3066,2539.673914
15.0,2906,2542.865161
18.0,2692,2543.840376
13.0,3109,2544.261605
17.0,2821,2550.510783
14.0,2751,2551.740113
17.0,2767,2568.371659
16.0,2876,2573.545346
18.0,2618,2576.211637
18.0,2656,2577.964617
18.0,2822,2579.590968
10.0,3229,2581.003879
15.0,2989,2589.815483
16.0,3146,2590.524128
16.0,2839,2604.660222
20.0,2614,2609.577275
15.0,2866,2610.502007
19.0,2686,2615.367196
13.0,3048,2617.248678
13.0,2952,2617.526409
18.0,2722,2624.467539
18.0,2723,2625.538349
14.0,2760,2640.053475
21.0,2577,2642.411131
20.0,2560,2647.929508
18.0,2945,2648.021362
19.0,2644,2651.144346
17.0,2915,2653.847851
21.0,2560,2657.863586
