#{"t_start": 1674743108.5023897, "env_id": null}
r,l,t
-20.0,908,835.673673
-19.0,985,836.043931
-19.0,939,837.764521
-20.0,868,838.81561
-20.0,861,839.73704
-20.0,920,840.835057
-19.0,1009,844.461194
-17.0,1228,846.09733
-19.0,1034,846.390693
-21.0,793,846.843899
-21.0,844,847.137967
-20.0,932,848.031285
-21.0,885,849.093505
-20.0,842,851.902008
-18.0,1148,853.783084
-18.0,1109,854.79404
-21.0,887,854.845685
-21.0,855,855.230765
-19.0,1041,856.062833
-20.0,1157,857.299301
-21.0,930,858.714218
-21.0,853,860.885393
-19.0,1131,861.465286
-21.0,877,864.934354
-20.0,996,865.29744
-20.0,989,866.192145
-21.0,765,866.594715
-19.0,1033,866.747317
-20.0,933,867.098081
-20.0,1106,867.737635
-21.0,825,869.822787
-21.0,855,871.396604
-20.0,866,871.655552
-21.0,843,873.638196
-21.0,961,874.724501
-21.0,1016,874.936723
-21.0,872,875.642337
-21.0,855,877.508355
-21.0,1038,881.594758
-21.0,793,881.595015
-21.0,825,882.753369
-20.0,931,882.996215
-20.0,978,884.254065
-20.0,932,884.660576
-21.0,783,884.857482
-21.0,984,886.184722
-21.0,821,887.448324
-19.0,1029,887.659562
-21.0,793,890.848896
-20.0,1014,890.873374
-20.0,991,893.922617
-18.0,1062,894.023497
-18.0,1014,894.157993
-20.0,1051,897.63464
-21.0,904,898.890219
-21.0,825,900.517027
-19.0,1008,900.97448
-20.0,870,901.582397
-19.0,996,902.140757
-20.0,1010,902.180061
-20.0,842,902.358076
-21.0,943,902.409711
-21.0,886,904.455465
-20.0,903,905.000359
-21.0,994,909.934161
-20.0,1059,911.183759
-21.0,910,911.395359
-20.0,981,912.831949
-20.0,978,912.916478
-21.0,853,913.99376
-20.0,843,916.597381
-21.0,783,917.277997
-20.0,843,917.66237
-21.0,825,917.874692
-20.0,879,918.937672
-20.0,1091,919.792802
-20.0,998,920.005226
-21.0,945,920.415566
-20.0,871,921.054484
-21.0,889,921.939169
-21.0,843,927.207422
-21.0,941,927.825297
-20.0,950,929.474454
-19.0,1016,932.154155
-21.0,975,932.53789
-21.0,825,933.547629
-21.0,887,934.513458
-20.0,948,934.631256
-20.0,1160,934.984052
-21.0,827,935.531868
-21.0,885,936.840282
-20.0,979,937.573392
-20.0,903,937.596867
-20.0,870,938.498276
-19.0,1117,938.554273
-20.0,949,939.129124
-20.0,1016,946.567465
-21.0,901,946.623966
-21.0,812,948.020863
-21.0,793,948.677734
-21.0,883,949.002411
-20.0,1134,949.448164
-21.0,795,949.693335
-21.0,853,951.778527
-21.0,916,952.11354
-21.0,823,952.534877
-21.0,793,952.697636
-21.0,849,953.772569
-19.0,1060,955.192973
-21.0,855,955.405385
-20.0,966,956.88991
-21.0,1035,958.252447
-21.0,853,962.793418
-21.0,783,962.911871
-21.0,881,963.390648
-21.0,853,965.21786
-20.0,843,965.711877
-20.0,871,966.002756
-19.0,933,966.42029
-20.0,950,969.837729
-19.0,967,970.908821
-20.0,959,970.90907
-20.0,838,971.339563
-20.0,930,971.457214
-18.0,1066,972.391464
-21.0,823,972.542402
-20.0,930,972.893722
-20.0,1107,979.357449
-20.0,870,979.414602
-21.0,910,980.287443
-21.0,827,981.016741
-19.0,961,981.744122
-20.0,838,982.0042
-21.0,919,983.266315
-21.0,903,983.669347
-21.0,793,984.997994
-21.0,825,987.099196
-21.0,883,987.782176
-21.0,793,988.041324
-21.0,903,988.174872
-21.0,941,989.426797
-20.0,905,989.827826
-20.0,1037,992.172834
-21.0,793,994.503561
-21.0,885,996.196567
-20.0,898,997.375045
-21.0,811,998.689338
-20.0,936,998.822985
-21.0,853,999.889467
-21.0,827,1000.726754
-20.0,1016,1001.076408
-19.0,1075,1002.450383
-21.0,915,1004.499984
-21.0,793,1004.900279
-21.0,885,1005.002018
-21.0,905,1005.267653
-20.0,918,1005.267884
-20.0,984,1008.149419
-21.0,783,1009.422399
-19.0,1039,1012.022623
-21.0,875,1014.137696
-20.0,870,1015.389723
-20.0,904,1016.182267
-21.0,845,1017.316255
-19.0,938,1018.748543
-19.0,1217,1019.530421
-21.0,945,1020.610961
-20.0,1102,1021.04497
-20.0,890,1022.109605
-20.0,904,1022.289482
-21.0,933,1023.185709
-20.0,1011,1023.937499
-20.0,977,1024.041367
-21.0,783,1024.520261
-20.0,1024,1031.629492
-19.0,1253,1032.19084
-21.0,957,1032.451724
-21.0,825,1033.072601
-21.0,913,1033.632187
-20.0,991,1034.341957
-21.0,853,1035.049686
-21.0,825,1036.813234
-20.0,1009,1038.823166
-20.0,905,1039.592694
-21.0,825,1039.710421
-19.0,1016,1040.064828
-20.0,899,1040.38763
-21.0,881,1041.357757
-20.0,1052,1042.234354
-20.0,1192,1046.787186
-21.0,855,1048.529697
-20.0,866,1049.009298
-20.0,962,1051.43406
-21.0,941,1052.292288
-21.0,1155,1053.687527
-18.0,1088,1054.394667
-20.0,842,1054.920537
-19.0,1042,1054.999368
-21.0,823,1055.358272
-21.0,825,1056.186606
-21.0,793,1056.55646
-21.0,783,1057.246077
-19.0,954,1057.990868
-20.0,1171,1059.241682
-21.0,1064,1060.416174
-21.0,911,1064.236294
-20.0,873,1065.237603
-21.0,975,1067.670858
-21.0,873,1069.017416
-21.0,975,1070.110991
-21.0,885,1071.910136
-20.0,938,1072.467947
-21.0,904,1072.701265
-19.0,994,1072.846443
-21.0,1003,1074.245523
-20.0,880,1074.870356
-20.0,918,1076.885609
-21.0,1096,1077.263113
-18.0,1098,1077.678199
-19.0,1098,1078.374182
-19.0,1004,1079.754871
-21.0,962,1083.795166
-21.0,854,1084.154341
-19.0,1064,1084.734192
-21.0,823,1084.93082
-21.0,793,1088.06969
-21.0,941,1088.282988
-21.0,881,1088.892896
-21.0,871,1089.471469
-21.0,795,1092.166858
-20.0,962,1092.75965
-20.0,1101,1093.636244
-20.0,870,1093.944588
-21.0,881,1094.563871
-20.0,1045,1094.964579
-20.0,844,1095.938767
-21.0,973,1097.01218
-21.0,783,1099.936931
-21.0,946,1102.276239
-20.0,920,1102.349436
-21.0,825,1104.060007
-19.0,1105,1104.942986
-21.0,827,1105.249209
-20.0,898,1106.033748
-21.0,975,1106.730587
-21.0,853,1108.453366
-21.0,765,1109.165854
-21.0,883,1110.799325
-21.0,975,1111.373952
-21.0,974,1112.235351
-20.0,950,1113.093457
-20.0,899,1114.162645
-20.0,980,1114.649426
-20.0,890,1116.962062
-20.0,902,1119.624364
-21.0,824,1119.853061
-21.0,825,1121.837887
-20.0,1027,1121.946023
-21.0,887,1121.94628
-20.0,871,1123.407829
-20.0,1040,1125.176378
-20.0,871,1125.860822
-21.0,853,1127.152642
-20.0,871,1128.098596
-21.0,793,1128.327022
-20.0,1056,1128.711963
-21.0,793,1129.410105
-21.0,793,1129.890062
-19.0,1076,1132.880215
-21.0,853,1133.325986
-21.0,853,1135.978197
-21.0,910,1137.313033
-20.0,860,1138.441096
-21.0,916,1139.413155
-20.0,872,1140.146119
-20.0,931,1143.039841
-20.0,1125,1143.523471
-21.0,825,1144.148726
-21.0,885,1144.148959
-20.0,922,1146.397359
-20.0,978,1146.862914
-20.0,978,1148.161968
-17.0,1166,1148.2474
-21.0,1016,1149.374387
-21.0,885,1149.870364
-21.0,883,1150.271344
-21.0,793,1151.205358
-21.0,913,1154.800727
-20.0,871,1156.09877
-19.0,969,1158.750115
-21.0,854,1159.911435
-21.0,853,1160.521924
-21.0,885,1161.149997
-20.0,948,1161.283111
-20.0,1200,1161.518623
-21.0,783,1163.245956
-21.0,881,1163.365361
-21.0,827,1164.208504
-21.0,843,1165.742464
-20.0,980,1165.877472
-21.0,825,1165.917964
-21.0,821,1166.243637
-21.0,843,1167.656764
-20.0,870,1171.911795
-21.0,795,1174.436208
-19.0,940,1174.603559
-21.0,793,1177.311271
-21.0,825,1177.574642
-21.0,827,1177.741232
-20.0,923,1178.887049
-21.0,973,1179.256333
-21.0,823,1179.768165
-21.0,904,1181.25221
-20.0,861,1181.356637
-21.0,783,1181.459476
-21.0,825,1182.107939
-21.0,887,1183.846123
-20.0,932,1184.352703
-20.0,1012,1187.662937
-21.0,844,1188.58263
-21.0,825,1190.818088
-21.0,905,1192.184299
-21.0,825,1193.601113
-21.0,872,1194.247844
-21.0,825,1194.899886
-21.0,825,1197.456288
-19.0,1042,1198.02208
-20.0,870,1198.153855
-20.0,979,1198.305194
-21.0,917,1199.895267
-20.0,842,1200.125685
