#{"t_start": 1674922134.0819445, "env_id": null}
r,l,t
-21.0,903,1096.279848
-21.0,944,1098.327254
-20.0,990,1098.354038
-21.0,849,1100.207581
-21.0,883,1100.999363
-20.0,992,1102.321918
-21.0,854,1104.877614
-21.0,825,1105.361631
-20.0,963,1105.802212
-21.0,825,1105.837907
-20.0,1009,1108.159205
-19.0,965,1109.232515
-20.0,894,1110.224411
-21.0,887,1110.558143
-19.0,1023,1111.331959
-19.0,1042,1111.805653
-21.0,881,1111.950248
-21.0,793,1112.273697
-21.0,911,1114.33881
-20.0,842,1114.841334
-21.0,827,1116.617498
-21.0,793,1118.58041
-20.0,1065,1119.393999
-20.0,838,1119.843544
-20.0,843,1120.39444
-20.0,905,1121.483087
-21.0,783,1122.802001
-21.0,855,1122.983612
-21.0,841,1124.921592
-21.0,956,1127.231726
-20.0,930,1127.54061
-20.0,910,1127.806234
-19.0,933,1128.070353
-20.0,991,1129.518974
-20.0,927,1130.469538
-20.0,905,1130.598067
-21.0,811,1130.774806
-21.0,853,1135.229561
